,Site,Type,thirteenC,fifteenN,%N,%C,CN
A1,Dunbar,Gnorimosphaeroma oregonensis,-14.95,8.61,10.63,62.68,5.9
A2,Dunbar,Gnorimosphaeroma oregonensis,-14.94,8.15,6.53,39.29,6.02
A3,Dunbar,Gnorimosphaeroma oregonensis,-14.89,8.70,9.87,61.59,6.24
A4,Whiskey Cove,Hemigrapsus oregonensis,-16.06,9.52,8.75,47.41,5.42
A5,Whiskey Cove,Hemigrapsus oregonensis,-15.79,9.45,4.77,24.26,5.09
A6,Whiskey Cove,Hemigrapsus oregonensis,-16.30,9.68,10.02,52.98,5.29
A7,Dunbar,Diadumene lineata,-17.93,12.37,5.04,24.41,4.84
A8,Dunbar,Diadumene lineata,-17.21,9.95,6.65,30.43,4.58
A9,Dunbar,Diadumene lineata,-17.16,10.97,6.8,31.11,4.58
A10,Dunbar,Paranemertes peregrina,-18.45,11.70,5.79,27.27,4.71
A11,Dunbar,Paranemertes peregrina,-15.04,11.53,10.05,47.01,4.68
A12,Dunbar,Paranemertes peregrina,-17.71,11.13,9.83,45.79,4.66
B1,Dunbar,Pink ribbon worm,-18.87,10.15,3.96,17.3,4.37
B2,Dunbar,Pink ribbon worm,-18.54,8.96,2.18,9.32,4.28
B3,Dunbar,Pink ribbon worm,-19.06,9.92,3.63,17.83,4.91
B4,Dunbar,Emplectonema gracile,-21.39,11.68,4.02,18.96,4.72
B5,Dunbar,Emplectonema gracile,-20.59,10.48,2.74,13.41,4.89
B6,Dunbar,Emplectonema gracile,-19.97,8.88,4.22,21.74,5.15
B7,Dunbar,Littorina scutulata,-17.83,7.86,1.87,8.31,4.44
B8,Dunbar,Littorina scutulata,-17.20,7.39,1.71,7.59,4.44
B9,Dunbar,Littorina scutulata,-17.07,8.56,3.02,13.4,4.44
B10,Shore Pine,Pagurus hirsutiusculus,-17.54,9.35,2.21,10.25,4.64
B11,Shore Pine,Pagurus hirsutiusculus,-20.67,9.43,1.72,7.8,4.53
B12,Shore Pine,Pagurus hirsutiusculus,-19.19,9.27,1.29,6.5,5.04
C1,Caulfeild,Diadumene lineata,-19.83,9.23,2.92,12.87,4.41
C2,Caulfeild,Diadumene lineata,-21.27,9.89,2.86,12.92,4.52
C3,Caulfeild,Diadumene lineata,-20.72,12.42,2.88,12.44,4.32
C4,Brockton Point,Diadumene lineata,-20.23,13.00,1.65,7.07,4.28
C5,Brockton Point,Diadumene lineata,-21.05,10.35,3.9,16.26,4.17
C6,Brockton Point,Diadumene lineata,-20.30,9.05,2.36,9.61,4.07
C7,Shore Pine,Diadumene lineata,-21.94,9.76,2.17,8.92,4.11
C8,Shore Pine,Diadumene lineata,-22.00,12.17,2.71,11.88,4.38
C9,Shore Pine,Diadumene lineata,-21.92,13.51,3.79,16.49,4.35
C10,Dunbar,Amphipod ,-25.72,12.09,3,14.28,4.76
C12,Dunbar,Amphipod ,-26.28,8.56,3.32,16.61,5
D1,Jericho,Plankton ,-18.62,9.64,2.34,10.83,4.63
D2,Jericho,Plankton ,-18.01,9.34,2.14,10.05,4.7
D3,Jericho,Plankton ,-17.74,8.70,1.41,5.43,3.85
,,,,,,,
