Tidepool,Date ,Treatment,Anemones,Proportion
1,2020-10-01,mussels,5,100
2,2020-10-01,mussels,5,100
3,2020-10-01,mussels,5,100
4,2020-10-01,control,5,100
5,2020-10-01,control,5,100
6,2020-10-01,mussels,5,100
7,2020-10-01,mussels,5,100
8,2020-10-01,mussels,5,100
9,2020-10-01,control,5,100
10,2020-10-01,control,5,100
11,2020-10-01,control,5,100
12,2020-10-01,mussels,5,100
13,2020-10-01,mussels,5,100
14,2020-10-01,control,5,100
15,2020-10-01,control,5,100
16,2020-10-01,control,5,100
17,2020-10-01,control,5,100
18,2020-10-01,mussels,5,100
1,2020-10-03,mussels,5,100
2,2020-10-03,mussels,3,60
3,2020-10-03,mussels,4,80
4,2020-10-03,control,1,20
5,2020-10-03,control,2,40
6,2020-10-03,mussels,3,60
7,2020-10-03,mussels,4,80
8,2020-10-03,mussels,2,40
9,2020-10-03,control,1,20
10,2020-10-03,control,2,40
11,2020-10-03,control,0,0
12,2020-10-03,mussels,1,20
13,2020-10-03,mussels,5,100
14,2020-10-03,control,3,60
15,2020-10-03,control,2,40
16,2020-10-03,control,2,40
17,2020-10-03,control,1,20
18,2020-10-03,mussels,1,20
1,2020-10-16,mussels,4,80
2,2020-10-16,mussels,2,40
3,2020-10-16,mussels,4,80
4,2020-10-16,control,1,20
5,2020-10-16,control,2,40
6,2020-10-16,mussels,2,40
7,2020-10-16,mussels,1,20
8,2020-10-16,mussels,1,20
9,2020-10-16,control,0,0
10,2020-10-16,control,2,40
11,2020-10-16,control,0,0
12,2020-10-16,mussels,0,0
13,2020-10-16,mussels,2,40
14,2020-10-16,control,1,20
15,2020-10-16,control,0,0
16,2020-10-16,control,1,20
17,2020-10-16,control,1,20
18,2020-10-16,mussels,1,20
1,2020-10-31,mussels,4,80
2,2020-10-31,mussels,2,40
3,2020-10-31,mussels,4,80
4,2020-10-31,control,1,20
5,2020-10-31,control,2,40
6,2020-10-31,mussels,1,20
7,2020-10-31,mussels,1,20
8,2020-10-31,mussels,1,20
9,2020-10-31,control,0,0
10,2020-10-31,control,2,40
11,2020-10-31,control,0,0
12,2020-10-31,mussels,0,0
13,2020-10-31,mussels,2,40
14,2020-10-31,control,0,0
15,2020-10-31,control,0,0
16,2020-10-31,control,1,20
17,2020-10-31,control,1,20
18,2020-10-31,mussels,1,20
1,2020-11-14,mussels,4,80
2,2020-11-14,mussels,2,40
3,2020-11-14,mussels,4,80
4,2020-11-14,control,1,20
5,2020-11-14,control,2,40
6,2020-11-14,mussels,2,40
7,2020-11-14,mussels,1,20
8,2020-11-14,mussels,1,20
9,2020-11-14,control,0,0
10,2020-11-14,control,2,40
11,2020-11-14,control,0,0
12,2020-11-14,mussels,0,0
13,2020-11-14,mussels,3,60
14,2020-11-14,control,0,0
15,2020-11-14,control,0,0
16,2020-11-14,control,1,20
17,2020-11-14,control,1,20
18,2020-11-14,mussels,1,20
1,2020-11-28,mussels,4,80
2,2020-11-28,mussels,2,40
3,2020-11-28,mussels,4,80
4,2020-11-28,control,1,20
5,2020-11-28,control,2,40
6,2020-11-28,mussels,2,40
7,2020-11-28,mussels,1,20
8,2020-11-28,mussels,1,20
9,2020-11-28,control,0,0
10,2020-11-28,control,2,40
11,2020-11-28,control,0,0
12,2020-11-28,mussels,0,0
13,2020-11-28,mussels,3,60
14,2020-11-28,control,0,0
15,2020-11-28,control,0,0
16,2020-11-28,control,1,20
17,2020-11-28,control,1,20
18,2020-11-28,mussels,1,20
