Tidepool,Date,Treatment,Anemones,Proportion
1,2021-05-28,Mussels,5,71.42857143
2,2021-05-28,Mussels,7,100
3,2021-05-28,Control,6,85.71428571
4,2021-05-28,Control,1,14.28571429
5,2021-05-28,Control,2,28.57142857
6,2021-05-28,Control,7,100
7,2021-05-28,Mussels,6,85.71428571
8,2021-05-28,Mussels,5,71.42857143
9,2021-05-28,Mussels,4,57.14285714
10,2021-05-28,Control,5,71.42857143
11,2021-05-28,Mussels,5,71.42857143
12,2021-05-28,Mussels,4,57.14285714
13,2021-05-28,Mussels,5,71.42857143
14,2021-05-28,Control,1,14.28571429
15,2021-05-28,Mussels,7,100
16,2021-05-28,Control,1,14.28571429
17,2021-05-28,Control,6,85.71428571
18,2021-05-28,Control,3,42.85714286
1,2021-05-31,Mussels,5,71.42857143
2,2021-05-31,Mussels,5,71.42857143
3,2021-05-31,Control,1,14.28571429
4,2021-05-31,Control,0,0
5,2021-05-31,Control,0,0
6,2021-05-31,Control,4,57.14285714
7,2021-05-31,Mussels,3,42.85714286
8,2021-05-31,Mussels,4,57.14285714
9,2021-05-31,Mussels,3,42.85714286
10,2021-05-31,Control,1,14.28571429
11,2021-05-31,Mussels,1,14.28571429
12,2021-05-31,Mussels,0,0
13,2021-05-31,Mussels,2,28.57142857
14,2021-05-31,Control,1,14.28571429
15,2021-05-31,Mussels,4,57.14285714
16,2021-05-31,Control,1,14.28571429
17,2021-05-31,Control,5,71.42857143
18,2021-05-31,Control,0,0
1,2021-06-13,Mussels,3,42.85714286
2,2021-06-13,Mussels,0,0
3,2021-06-13,Control,0,0
4,2021-06-13,Control,0,0
5,2021-06-13,Control,0,0
6,2021-06-13,Control,4,57.14285714
7,2021-06-13,Mussels,5,71.42857143
8,2021-06-13,Mussels,1,14.28571429
9,2021-06-13,Mussels,0,0
10,2021-06-13,Control,0,0
11,2021-06-13,Mussels,0,0
12,2021-06-13,Mussels,0,0
13,2021-06-13,Mussels,3,42.85714286
14,2021-06-13,Control,1,14.28571429
15,2021-06-13,Mussels,2,28.57142857
16,2021-06-13,Control,0,0
17,2021-06-13,Control,2,28.57142857
18,2021-06-13,Control,0,0
1,2021-06-26,Mussels,3,42.85714286
2,2021-06-26,Mussels,1,14.28571429
3,2021-06-26,Control,0,0
4,2021-06-26,Control,0,0
5,2021-06-26,Control,0,0
6,2021-06-26,Control,3,42.85714286
7,2021-06-26,Mussels,5,71.42857143
8,2021-06-26,Mussels,3,42.85714286
9,2021-06-26,Mussels,0,0
10,2021-06-26,Control,0,0
11,2021-06-26,Mussels,1,14.28571429
12,2021-06-26,Mussels,2,28.57142857
13,2021-06-26,Mussels,2,28.57142857
14,2021-06-26,Control,0,0
15,2021-06-26,Mussels,2,28.57142857
16,2021-06-26,Control,1,14.28571429
17,2021-06-26,Control,2,28.57142857
18,2021-06-26,Control,0,0
1,2021-07-13,Mussels,3,42.85714286
2,2021-07-13,Mussels,3,42.85714286
3,2021-07-13,Control,0,0
4,2021-07-13,Control,0,0
5,2021-07-13,Control,0,0
6,2021-07-13,Control,3,42.85714286
7,2021-07-13,Mussels,7,100
8,2021-07-13,Mussels,1,14.28571429
9,2021-07-13,Mussels,1,14.28571429
10,2021-07-13,Control,1,14.28571429
11,2021-07-13,Mussels,1,14.28571429
12,2021-07-13,Mussels,2,28.57142857
13,2021-07-13,Mussels,1,14.28571429
14,2021-07-13,Control,0,0
15,2021-07-13,Mussels,4,57.14285714
16,2021-07-13,Control,2,28.57142857
17,2021-07-13,Control,5,71.42857143
18,2021-07-13,Control,0,0
1,2021-07-23,Mussels,2,28.57142857
2,2021-07-23,Mussels,4,57.14285714
3,2021-07-23,Control,1,14.28571429
4,2021-07-23,Control,0,0
5,2021-07-23,Control,0,0
6,2021-07-23,Control,4,57.14285714
7,2021-07-23,Mussels,4,57.14285714
8,2021-07-23,Mussels,2,28.57142857
9,2021-07-23,Mussels,2,28.57142857
10,2021-07-23,Control,1,14.28571429
11,2021-07-23,Mussels,2,28.57142857
12,2021-07-23,Mussels,3,42.85714286
13,2021-07-23,Mussels,3,42.85714286
14,2021-07-23,Control,1,14.28571429
15,2021-07-23,Mussels,3,42.85714286
16,2021-07-23,Control,0,0
17,2021-07-23,Control,7,100
18,2021-07-23,Control,1,14.28571429
