ID,Treatment,Time,Anemones,Proportion
1,Mussel,0:15,2,28.57142857
2,Mussel,0:15,0,0
3,Control,0:15,0,0
4,Control,0:15,0,0
5,Control,0:15,0,0
6,Control,0:15,3,42.85714286
7,Mussel,0:15,2,28.57142857
8,Mussel,0:15,0,0
9,Mussel,0:15,0,0
10,Control,0:15,2,28.57142857
11,Mussel,0:15,1,14.28571429
12,Mussel,0:15,0,0
13,Mussel,0:15,0,0
14,Control,0:15,0,0
15,Mussel,0:15,1,14.28571429
16,Control,0:15,0,0
17,Control,0:15,1,14.28571429
18,Control,0:15,1,14.28571429
1,Mussel,0:30,2,28.57142857
2,Mussel,0:30,1,14.28571429
3,Control,0:30,1,14.28571429
4,Control,0:30,0,0
5,Control,0:30,0,0
6,Control,0:30,4,57.14285714
7,Mussel,0:30,2,28.57142857
8,Mussel,0:30,2,28.57142857
9,Mussel,0:30,0,0
10,Control,0:30,2,28.57142857
11,Mussel,0:30,1,14.28571429
12,Mussel,0:30,0,0
13,Mussel,0:30,0,0
14,Control,0:30,0,0
15,Mussel,0:30,2,28.57142857
16,Control,0:30,0,0
17,Control,0:30,1,14.28571429
18,Control,0:30,1,14.28571429
1,Mussel,0:45,2,28.57142857
2,Mussel,0:45,2,28.57142857
3,Control,0:45,2,28.57142857
4,Control,0:45,0,0
5,Control,0:45,0,0
6,Control,0:45,5,71.42857143
7,Mussel,0:45,2,28.57142857
8,Mussel,0:45,2,28.57142857
9,Mussel,0:45,0,0
10,Control,0:45,2,28.57142857
11,Mussel,0:45,1,14.28571429
12,Mussel,0:45,1,14.28571429
13,Mussel,0:45,0,0
14,Control,0:45,0,0
15,Mussel,0:45,2,28.57142857
16,Control,0:45,0,0
17,Control,0:45,1,14.28571429
18,Control,0:45,1,14.28571429
1,Mussel,1:00,3,42.85714286
2,Mussel,1:00,2,28.57142857
3,Control,1:00,2,28.57142857
4,Control,1:00,0,0
5,Control,1:00,0,0
6,Control,1:00,5,71.42857143
7,Mussel,1:00,2,28.57142857
8,Mussel,1:00,3,42.85714286
9,Mussel,1:00,2,28.57142857
10,Control,1:00,2,28.57142857
11,Mussel,1:00,2,28.57142857
12,Mussel,1:00,2,28.57142857
13,Mussel,1:00,1,14.28571429
14,Control,1:00,0,0
15,Mussel,1:00,2,28.57142857
16,Control,1:00,0,0
17,Control,1:00,1,14.28571429
18,Control,1:00,1,14.28571429
1,Mussel,1:15,3,42.85714286
2,Mussel,1:15,2,28.57142857
3,Control,1:15,2,28.57142857
4,Control,1:15,0,0
5,Control,1:15,0,0
6,Control,1:15,5,71.42857143
7,Mussel,1:15,3,42.85714286
8,Mussel,1:15,3,42.85714286
9,Mussel,1:15,2,28.57142857
10,Control,1:15,2,28.57142857
11,Mussel,1:15,2,28.57142857
12,Mussel,1:15,2,28.57142857
13,Mussel,1:15,1,14.28571429
14,Control,1:15,0,0
15,Mussel,1:15,3,42.85714286
16,Control,1:15,1,14.28571429
17,Control,1:15,1,14.28571429
18,Control,1:15,1,14.28571429
1,Mussel,1:30,4,57.14285714
2,Mussel,1:30,3,42.85714286
3,Control,1:30,2,28.57142857
4,Control,1:30,0,0
5,Control,1:30,1,14.28571429
6,Control,1:30,5,71.42857143
7,Mussel,1:30,3,42.85714286
8,Mussel,1:30,3,42.85714286
9,Mussel,1:30,2,28.57142857
10,Control,1:30,2,28.57142857
11,Mussel,1:30,3,42.85714286
12,Mussel,1:30,2,28.57142857
13,Mussel,1:30,1,14.28571429
14,Control,1:30,0,0
15,Mussel,1:30,3,42.85714286
16,Control,1:30,1,14.28571429
17,Control,1:30,1,14.28571429
18,Control,1:30,1,14.28571429
1,Mussel,1:45,4,57.14285714
2,Mussel,1:45,3,42.85714286
3,Control,1:45,2,28.57142857
4,Control,1:45,0,0
5,Control,1:45,1,14.28571429
6,Control,1:45,5,71.42857143
7,Mussel,1:45,4,57.14285714
8,Mussel,1:45,3,42.85714286
9,Mussel,1:45,2,28.57142857
10,Control,1:45,2,28.57142857
11,Mussel,1:45,3,42.85714286
12,Mussel,1:45,2,28.57142857
13,Mussel,1:45,2,28.57142857
14,Control,1:45,0,0
15,Mussel,1:45,5,71.42857143
16,Control,1:45,1,14.28571429
17,Control,1:45,2,28.57142857
18,Control,1:45,1,14.28571429
1,Mussel,2:00,4,57.14285714
2,Mussel,2:00,4,57.14285714
3,Control,2:00,3,42.85714286
4,Control,2:00,0,0
5,Control,2:00,1,14.28571429
6,Control,2:00,5,71.42857143
7,Mussel,2:00,5,71.42857143
8,Mussel,2:00,3,42.85714286
9,Mussel,2:00,2,28.57142857
10,Control,2:00,2,28.57142857
11,Mussel,2:00,3,42.85714286
12,Mussel,2:00,2,28.57142857
13,Mussel,2:00,3,42.85714286
14,Control,2:00,0,0
15,Mussel,2:00,5,71.42857143
16,Control,2:00,2,28.57142857
17,Control,2:00,2,28.57142857
18,Control,2:00,1,14.28571429
1,Mussel,2:30,4,57.14285714
2,Mussel,2:30,5,71.42857143
3,Control,2:30,3,42.85714286
4,Control,2:30,0,0
5,Control,2:30,1,14.28571429
6,Control,2:30,5,71.42857143
7,Mussel,2:30,6,85.71428571
8,Mussel,2:30,5,71.42857143
9,Mussel,2:30,2,28.57142857
10,Control,2:30,3,42.85714286
11,Mussel,2:30,3,42.85714286
12,Mussel,2:30,2,28.57142857
13,Mussel,2:30,3,42.85714286
14,Control,2:30,0,0
15,Mussel,2:30,6,85.71428571
16,Control,2:30,2,28.57142857
17,Control,2:30,2,28.57142857
18,Control,2:30,2,28.57142857
1,Mussel,3:00,5,71.42857143
2,Mussel,3:00,5,71.42857143
3,Control,3:00,4,57.14285714
4,Control,3:00,0,0
5,Control,3:00,1,14.28571429
6,Control,3:00,6,85.71428571
7,Mussel,3:00,6,85.71428571
8,Mussel,3:00,5,71.42857143
9,Mussel,3:00,3,42.85714286
10,Control,3:00,3,42.85714286
11,Mussel,3:00,3,42.85714286
12,Mussel,3:00,3,42.85714286
13,Mussel,3:00,5,71.42857143
14,Control,3:00,0,0
15,Mussel,3:00,6,85.71428571
16,Control,3:00,2,28.57142857
17,Control,3:00,3,42.85714286
18,Control,3:00,2,28.57142857
1,Mussel,3:30,5,71.42857143
2,Mussel,3:30,6,85.71428571
3,Control,3:30,4,57.14285714
4,Control,3:30,0,0
5,Control,3:30,2,28.57142857
6,Control,3:30,7,100
7,Mussel,3:30,6,85.71428571
8,Mussel,3:30,5,71.42857143
9,Mussel,3:30,3,42.85714286
10,Control,3:30,4,57.14285714
11,Mussel,3:30,4,57.14285714
12,Mussel,3:30,4,57.14285714
13,Mussel,3:30,5,71.42857143
14,Control,3:30,0,0
15,Mussel,3:30,6,85.71428571
16,Control,3:30,2,28.57142857
17,Control,3:30,4,57.14285714
18,Control,3:30,2,28.57142857
1,Mussel,4:00,5,71.42857143
2,Mussel,4:00,6,85.71428571
3,Control,4:00,4,57.14285714
4,Control,4:00,0,0
5,Control,4:00,2,28.57142857
6,Control,4:00,7,100
7,Mussel,4:00,6,85.71428571
8,Mussel,4:00,5,71.42857143
9,Mussel,4:00,3,42.85714286
10,Control,4:00,5,71.42857143
11,Mussel,4:00,4,57.14285714
12,Mussel,4:00,4,57.14285714
13,Mussel,4:00,5,71.42857143
14,Control,4:00,0,0
15,Mussel,4:00,6,85.71428571
16,Control,4:00,2,28.57142857
17,Control,4:00,4,57.14285714
18,Control,4:00,3,42.85714286
1,Mussel,5:00,5,71.42857143
2,Mussel,5:00,7,100
3,Control,5:00,6,85.71428571
4,Control,5:00,1,14.28571429
5,Control,5:00,2,28.57142857
6,Control,5:00,7,100
7,Mussel,5:00,6,85.71428571
8,Mussel,5:00,5,71.42857143
9,Mussel,5:00,4,57.14285714
10,Control,5:00,5,71.42857143
11,Mussel,5:00,5,71.42857143
12,Mussel,5:00,4,57.14285714
13,Mussel,5:00,5,71.42857143
14,Control,5:00,1,14.28571429
15,Mussel,5:00,7,100
16,Control,5:00,1,14.28571429
17,Control,5:00,6,85.71428571
18,Control,5:00,3,42.85714286
