Treatment,Time,Anemones,Proportion,Tidepool
no mussels,00:15,0,0,1
mussels,00:15,0,0,2
mussels,00:15,0,0,3
no mussels,00:15,0,0,4
no mussels,00:15,0,0,5
no mussels,00:15,1,20,6
mussels,00:15,0,0,7
no mussels,00:15,0,0,8
mussels,00:15,0,0,9
no mussels,00:15,0,0,10
mussels,00:15,0,0,11
mussels,00:15,0,0,12
mussels,00:15,0,0,13
no mussels,00:15,0,0,14
mussels,00:15,0,0,15
no mussels,00:15,0,0,16
mussels,00:15,1,20,17
no mussels,00:15,0,0,18
mussels,00:15,0,0,19
no mussels,00:15,0,0,20
no mussels,00:30,0,0,1
mussels,00:30,0,0,2
mussels,00:30,0,0,3
no mussels,00:30,0,0,4
no mussels,00:30,0,0,5
no mussels,00:30,1,20,6
mussels,00:30,0,0,7
no mussels,00:30,0,0,8
mussels,00:30,0,0,9
no mussels,00:30,0,0,10
mussels,00:30,0,0,11
mussels,00:30,0,0,12
mussels,00:30,0,0,13
no mussels,00:30,0,0,14
mussels,00:30,0,0,15
no mussels,00:30,0,0,16
mussels,00:30,1,20,17
no mussels,00:30,0,0,18
mussels,00:30,0,0,19
no mussels,00:30,0,0,20
no mussels,00:45,0,0,1
mussels,00:45,0,0,2
mussels,00:45,0,0,3
no mussels,00:45,0,0,4
no mussels,00:45,0,0,5
no mussels,00:45,2,40,6
mussels,00:45,1,20,7
no mussels,00:45,1,20,8
mussels,00:45,0,0,9
no mussels,00:45,0,0,10
mussels,00:45,0,0,11
mussels,00:45,1,20,12
mussels,00:45,0,0,13
no mussels,00:45,1,20,14
mussels,00:45,0,0,15
no mussels,00:45,0,0,16
mussels,00:45,1,20,17
no mussels,00:45,0,0,18
mussels,00:45,1,20,19
no mussels,00:45,0,0,20
no mussels,01:00,1,20,1
mussels,01:00,0,0,2
mussels,01:00,1,20,3
no mussels,01:00,0,0,4
no mussels,01:00,0,0,5
no mussels,01:00,2,40,6
mussels,01:00,1,20,7
no mussels,01:00,1,20,8
mussels,01:00,1,20,9
no mussels,01:00,0,0,10
mussels,01:00,0,0,11
mussels,01:00,2,40,12
mussels,01:00,1,20,13
no mussels,01:00,1,20,14
mussels,01:00,0,0,15
no mussels,01:00,0,0,16
mussels,01:00,1,20,17
no mussels,01:00,0,0,18
mussels,01:00,1,20,19
no mussels,01:00,0,0,20
no mussels,01:15,2,40,1
mussels,01:15,0,0,2
mussels,01:15,1,20,3
no mussels,01:15,0,0,4
no mussels,01:15,0,0,5
no mussels,01:15,2,40,6
mussels,01:15,1,20,7
no mussels,01:15,1,20,8
mussels,01:15,0,0,9
no mussels,01:15,1,20,10
mussels,01:15,1,20,11
mussels,01:15,2,40,12
mussels,01:15,2,40,13
no mussels,01:15,1,20,14
mussels,01:15,0,0,15
no mussels,01:15,0,0,16
mussels,01:15,2,40,17
no mussels,01:15,0,0,18
mussels,01:15,1,20,19
no mussels,01:15,1,20,20
no mussels,01:30,2,40,1
mussels,01:30,0,0,2
mussels,01:30,1,20,3
no mussels,01:30,0,0,4
no mussels,01:30,0,0,5
no mussels,01:30,2,40,6
mussels,01:30,1,20,7
no mussels,01:30,1,20,8
mussels,01:30,1,20,9
no mussels,01:30,1,20,10
mussels,01:30,1,20,11
mussels,01:30,2,40,12
mussels,01:30,2,40,13
no mussels,01:30,2,40,14
mussels,01:30,0,0,15
no mussels,01:30,0,0,16
mussels,01:30,2,40,17
no mussels,01:30,0,0,18
mussels,01:30,1,20,19
no mussels,01:30,1,20,20
no mussels,01:45,2,40,1
mussels,01:45,0,0,2
mussels,01:45,1,20,3
no mussels,01:45,0,0,4
no mussels,01:45,0,0,5
no mussels,01:45,2,40,6
mussels,01:45,1,20,7
no mussels,01:45,1,20,8
mussels,01:45,1,20,9
no mussels,01:45,1,20,10
mussels,01:45,1,20,11
mussels,01:45,2,40,12
mussels,01:45,2,40,13
no mussels,01:45,3,60,14
mussels,01:45,0,0,15
no mussels,01:45,1,20,16
mussels,01:45,2,40,17
no mussels,01:45,1,20,18
mussels,01:45,1,20,19
no mussels,01:45,1,20,20
no mussels,02:00,2,40,1
mussels,02:00,1,20,2
mussels,02:00,1,20,3
no mussels,02:00,0,0,4
no mussels,02:00,0,0,5
no mussels,02:00,3,60,6
mussels,02:00,1,20,7
no mussels,02:00,1,20,8
mussels,02:00,1,20,9
no mussels,02:00,1,20,10
mussels,02:00,1,20,11
mussels,02:00,3,60,12
mussels,02:00,2,40,13
no mussels,02:00,3,60,14
mussels,02:00,1,20,15
no mussels,02:00,1,20,16
mussels,02:00,2,40,17
no mussels,02:00,1,20,18
mussels,02:00,1,20,19
no mussels,02:00,1,20,20
no mussels,02:30,2,40,1
mussels,02:30,2,40,2
mussels,02:30,1,20,3
no mussels,02:30,0,0,4
no mussels,02:30,0,0,5
no mussels,02:30,3,60,6
mussels,02:30,1,20,7
no mussels,02:30,1,20,8
mussels,02:30,2,40,9
no mussels,02:30,2,40,10
mussels,02:30,1,20,11
mussels,02:30,3,60,12
mussels,02:30,2,40,13
no mussels,02:30,4,80,14
mussels,02:30,1,20,15
no mussels,02:30,1,20,16
mussels,02:30,3,60,17
no mussels,02:30,1,20,18
mussels,02:30,2,40,19
no mussels,02:30,1,20,20
no mussels,03:00,2,40,1
mussels,03:00,2,40,2
mussels,03:00,1,20,3
no mussels,03:00,0,0,4
no mussels,03:00,1,20,5
no mussels,03:00,3,60,6
mussels,03:00,1,20,7
no mussels,03:00,3,60,8
mussels,03:00,4,80,9
no mussels,03:00,2,40,10
mussels,03:00,2,40,11
mussels,03:00,4,80,12
mussels,03:00,1,20,13
no mussels,03:00,4,80,14
mussels,03:00,1,20,15
no mussels,03:00,1,20,16
mussels,03:00,3,60,17
no mussels,03:00,1,20,18
mussels,03:00,2,40,19
no mussels,03:00,1,20,20
no mussels,03:30,2,40,1
mussels,03:30,2,40,2
mussels,03:30,1,20,3
no mussels,03:30,0,0,4
no mussels,03:30,1,20,5
no mussels,03:30,4,80,6
mussels,03:30,3,60,7
no mussels,03:30,2,40,8
mussels,03:30,4,80,9
