Site,Latitude,Longitude,Census,Date,Tidepool,Group,Volume,Light_initial,Height,Salinity,Treatment,Sample_time,Algae_cover,H_inital,Diversity,H_change,E_inital,Evenness,E_change,S_intial,Richness,S_change
Shore Pine,49.3334,-123.2680,0,2020-09-02,1,1,2.7296976,14919,3.2,23,Control,Day,0,0.9231818935,0.9231818935,0,0.5736051614,0.5736051614,0,5,5,0
Shore Pine,49.3334,-123.2681,0,2020-09-02,2,5,0.15624,18349,3.2,23,Removed,Day,0.043,0.9079829704,0.9079829704,0,0.5641615395,0.5641615395,0,5,5,0
Shore Pine,49.3334,-123.2680,0,2020-09-03,3,1,1.6832928,17865,3.3,23,Elevated,Day,0.0301,0.9407822057,0.9407822057,0,0.5250605463,0.5250605463,0,6,6,0
Shore Pine,49.3334,-123.2680,0,2020-09-03,4,3,0.5103072,13986,3.6,23,Removed,Day,0.0086,1.068025869,1.068025869,0,0.7704178125,0.7704178125,0,4,4,0
Shore Pine,49.3334,-123.2681,0,2020-09-03,5,8,0.04733344,20730,3.6,24,Elevated,Day,0,0.9235929018,0.9235929018,0,0.8406904886,0.8406904886,0,3,3,0
Shore Pine,49.3335,-123.2682,0,2020-09-03,6,1,2.97024,27153,3.6,22,Removed,Day,0.0068,0.8059485626,0.8059485626,0,0.5813689973,0.5813689973,0,4,4,0
Shore Pine,49.3334,-123.2684,0,2020-09-02,7,7,0.05155232,16909,3.5,23,Removed,Day,0.0027,1.022719071,1.022719071,0,0.930919016,0.930919016,0,3,3,0
Shore Pine,49.3334,-123.2680,0,2020-09-02,8,6,0.114156,17821,3.5,22,Control,Day,0,1.090667369,1.090667369,0,0.9927682225,0.9927682225,0,3,3,0
Shore Pine,49.3333,-123.2684,0,2020-09-02,9,5,0.2342912,2860,3.4,24,Control,Day,0.0012,0.5152863416,0.5152863416,0,0.3201654053,0.3201654053,0,5,5,0
Shore Pine,49.3335,-123.2681,0,2020-09-03,10,4,0.379544,18308,3.6,22,Control,Day,0.0974,1.000609516,1.000609516,0,0.6217136482,0.6217136482,0,5,5,0
Shore Pine,49.3334,-123.2682,0,2020-09-03,11,2,1.176528,21443,3.6,22,Control,Day,0.069,1.149649196,1.149649196,0,0.7143172081,0.7143172081,0,5,5,0
Shore Pine,49.3334,-123.2680,0,2020-09-02,12,6,0.0989298,21498,3.6,23,Removed,Day,0.1242,1.056533599,1.056533599,0,0.6564612345,0.6564612345,0,5,5,0
Shore Pine,49.3335,-123.2682,0,2020-09-02,13,7,0.09892352,23947,3.6,23,Control,Day,0,1.041277618,1.041277618,0,0.7511230279,0.7511230279,0,4,4,0
Shore Pine,49.3335,-123.2681,0,2020-09-02,14,5,0.21402108,19434,3.5,23,Elevated,Day,0.0416,0.4799666384,0.4799666384,0,0.3462227445,0.3462227445,0,4,4,0
Shore Pine,49.3335,-123.2681,0,2020-09-02,15,3,0.7928856,23124,3.5,23,Control,Day,0.0327,0.8623680439,0.8623680439,0,0.5358193921,0.5358193921,0,5,5,0
Shore Pine,49.3335,-123.2680,0,2020-09-03,16,4,0.4657716,20088,3.5,22,Removed,Day,0,0.8989818513,0.8989818513,0,0.5585688297,0.5585688297,0,5,5,0
Shore Pine,49.3334,-123.2681,0,2020-09-03,17,2,1.4409408,20103,3.5,22,Removed,Day,0.0258,0.9101680974,0.9101680974,0,0.4677338765,0.4677338765,0,7,7,0
Shore Pine,49.3335,-123.2681,0,2020-09-02,18,3,0.51652,23947,3.1,23,Elevated,Day,0.01,0.9430601219,0.9430601219,0,0.4846370334,0.4846370334,0,7,7,0
Shore Pine,49.3334,-123.2680,0,2020-09-03,19,8,0.02128896,20807,3.2,25,Control,Day,0.033,0.7464130781,0.7464130781,0,0.5384232231,0.5384232231,0,4,4,0
Shore Pine,49.3333,-123.2680,0,2020-09-03,20,4,0.3467772,18890,3.2,21,Elevated,Day,0.1438,0.1793157013,0.1793157013,0,0.1293489365,0.1293489365,0,4,4,0
Shore Pine,49.3334,-123.2681,0,2020-09-03,21,8,0.04256,25038,3.3,26,Removed,Day,0.0876,0.5764494392,0.5764494392,0,0.4158203736,0.4158203736,0,4,4,0
Shore Pine,49.3334,-123.2681,0,2020-09-03,22,2,0.8190144,19400,3.1,22,Elevated,Day,0.0112,1.020510001,1.020510001,0,0.5695574763,0.5695574763,0,6,6,0
Shore Pine,49.3334,-123.2681,0,2020-09-02,23,6,0.1492224,23910,3.1,25,Elevated,Day,0.0862,0.2727899627,0.2727899627,0,0.1967763632,0.1967763632,0,4,4,0
Shore Pine,49.3336,-123.2681,0,2020-09-02,24,7,0.1001052,11622,3.3,22,Elevated,Day,0.0576,0.5876804507,0.5876804507,0,0.423921836,0.423921836,0,4,4,0
West Beach,49.3311,-123.2660,0,2020-09-02,25,2,0.15343944,6369,3.4,21,Elevated,Day,0.0153,0.4031305124,0.4031305124,0,0.2249914229,0.2249914229,0,6,6,0
West Beach,49.3311,-123.2661,0,2020-09-02,26,2,0.2660736,6408,3.7,23,Control,Day,0.0234,1.019078598,1.019078598,0,0.6331891343,0.6331891343,0,5,5,0
West Beach,49.3310,-123.2660,0,2020-09-02,27,1,1.013376,13979,3.7,21,Removed,Day,0.0065,1.165825013,1.165825013,0,0.6506593286,0.6506593286,0,6,6,0
West Beach,49.3307,-123.2661,0,2020-09-02,28,1,0.351072,5957,3.8,21,Control,Day,0.0433,0.5653868648,0.5653868648,0,0.407840413,0.407840413,0,4,4,0
West Beach,49.3310,-123.2662,0,2020-09-02,29,1,1.3318672,11760,3.6,21,Elevated,Day,0.0123,0.7215784929,0.7215784929,0,0.4027206248,0.4027206248,0,6,6,0
West Beach,49.3310,-123.2660,0,2020-09-02,30,2,0.33088,11226,4.0,21,Removed,Day,0,0.8001812896,0.8001812896,0,0.5772087891,0.5772087891,0,4,4,0
Shore Pine,49.3334,-123.2680,1,2020-09-16,1,1,2.7296976,14919,3.2,NA,Control,Day,,0.9231818935,1.204701016,0.2815191227,0.5736051614,0.6723564389,0.09875127756,5,6,1
Shore Pine,49.3334,-123.2681,1,2020-09-16,2,5,0.15624,18349,3.2,NA,Removed,Day,,0.9079829704,0.8874855665,-0.02049740383,0.5641615395,0.6401855129,0.07602397338,5,4,-1
Shore Pine,49.3334,-123.2680,1,2020-09-18,3,1,1.6832928,17865,3.3,NA,Elevated,Day,,0.9407822057,0.7435198162,-0.1972623895,0.5250605463,0.5363361758,0.01127562955,6,4,-2
Shore Pine,49.3334,-123.2680,1,2020-09-18,4,3,0.5103072,13986,3.6,NA,Removed,Day,,1.068025869,0.9292871507,-0.1387387184,0.7704178125,0.577398571,-0.1930192415,4,5,1
Shore Pine,49.3334,-123.2681,1,2020-09-16,5,8,0.04733344,20730,3.6,NA,Elevated,Day,,0.9235929018,0.8982643861,-0.02532851569,0.8406904886,0.6479607876,-0.192729701,3,4,1
Shore Pine,49.3335,-123.2682,1,2020-09-18,6,1,2.97024,27153,3.6,NA,Removed,Day,,0.8059485626,0.8773367395,0.07138817687,0.5813689973,0.4508618961,-0.1305071012,4,7,3
