Site,Date,Tidepool,Treatment,H,H_change,Evenness,E_change,Richness,S_change
Shore Pine,2020-09-02,1,Control,0.9231818935,0,0.5736051614,0,5,0
Shore Pine,2020-09-02,2,Removed,0.9079829704,0,0.5641615395,0,5,0
Shore Pine,2020-09-02,3,Elevated,0.9407822057,0,0.5250605463,0,6,0
Shore Pine,2020-09-02,4,Removed,1.068025869,0,0.7704178125,0,4,0
Shore Pine,2020-09-02,5,Elevated,0.9235929018,0,0.8406904886,0,3,0
Shore Pine,2020-09-02,6,Removed,0.8059485626,0,0.5813689973,0,4,0
Shore Pine,2020-09-02,7,Removed,1.022719071,0,0.930919016,0,3,0
Shore Pine,2020-09-02,8,Control,1.090667369,0,0.9927682225,0,3,0
Shore Pine,2020-09-02,9,Control,0.5152863416,0,0.3201654053,0,5,0
Shore Pine,2020-09-02,10,Control,1.000609516,0,0.6217136482,0,5,0
Shore Pine,2020-09-02,11,Control,1.149649196,0,0.7143172081,0,5,0
Shore Pine,2020-09-02,12,Removed,1.056533599,0,0.6564612345,0,5,0
Shore Pine,2020-09-02,13,Control,1.041277618,0,0.7511230279,0,4,0
Shore Pine,2020-09-02,14,Elevated,0.4799666384,0,0.3462227445,0,4,0
Shore Pine,2020-09-02,15,Control,0.8623680439,0,0.5358193921,0,5,0
Shore Pine,2020-09-02,16,Removed,0.8989818513,0,0.5585688297,0,5,0
Shore Pine,2020-09-02,17,Removed,0.9101680974,0,0.4677338765,0,7,0
Shore Pine,2020-09-02,18,Elevated,0.9430601219,0,0.4846370334,0,7,0
Shore Pine,2020-09-02,19,Control,0.7464130781,0,0.5384232231,0,4,0
Shore Pine,2020-09-02,20,Elevated,0.1793157013,0,0.1293489365,0,4,0
Shore Pine,2020-09-02,21,Removed,0.5764494392,0,0.4158203736,0,4,0
Shore Pine,2020-09-02,22,Elevated,1.020510001,0,0.5695574763,0,6,0
Shore Pine,2020-09-02,23,Elevated,0.2727899627,0,0.1967763632,0,4,0
Shore Pine,2020-09-02,24,Elevated,0.5876804507,0,0.423921836,0,4,0
West Beach,2020-09-02,25,Elevated,0.4031305124,0,0.2249914229,0,6,0
West Beach,2020-09-02,26,Control,1.019078598,0,0.6331891343,0,5,0
West Beach,2020-09-02,27,Removed,1.165825013,0,0.6506593286,0,6,0
West Beach,2020-09-02,28,Control,0.5653868648,0,0.407840413,0,4,0
West Beach,2020-09-02,29,Elevated,0.7215784929,0,0.4027206248,0,6,0
West Beach,2020-09-02,30,Removed,0.8001812896,0,0.5772087891,0,4,0
Shore Pine,2020-09-16,1,Control,1.204701016,0.2815191227,0.6723564389,0.09875127756,6,1
Shore Pine,2020-09-16,2,Removed,0.8874855665,-0.02049740383,0.6401855129,0.07602397338,4,-1
Shore Pine,2020-09-16,3,Elevated,0.7435198162,-0.1972623895,0.5363361758,0.01127562955,4,-2
Shore Pine,2020-09-16,4,Removed,0.9292871507,-0.1387387184,0.577398571,-0.1930192415,5,1
Shore Pine,2020-09-16,5,Elevated,0.8982643861,-0.02532851569,0.6479607876,-0.192729701,4,1
Shore Pine,2020-09-16,6,Removed,0.8773367395,0.07138817687,0.4508618961,-0.1305071012,7,3
Shore Pine,2020-09-16,7,Removed,1.131753457,0.1090343863,0.7031979602,-0.2277210559,5,2
Shore Pine,2020-09-16,8,Control,1.12984132,0.03917395069,0.8150082345,-0.177759988,4,1
Shore Pine,2020-09-16,9,Control,0.3234751446,-0.191811197,0.2333379935,-0.08682741182,4,-1
Shore Pine,2020-09-16,10,Control,1.183737817,0.1831283009,0.6606566547,0.0389430065,6,1
Shore Pine,2020-09-16,11,Control,1.217275951,0.06762675467,0.6793746437,-0.03494256447,6,1
Shore Pine,2020-09-16,12,Removed,0.9981411246,-0.05839247431,0.5570731684,-0.0993880661,6,1
Shore Pine,2020-09-16,13,Control,1.066397853,0.02512023461,0.9706771567,0.2195541288,3,-1
Shore Pine,2020-09-16,14,Elevated,0.4078996135,-0.07206702489,0.2942373748,-0.05198536971,4,0
Shore Pine,2020-09-16,15,Control,0.817786859,-0.04458118491,0.4564155363,-0.07940385587,6,1
